"bx","by","V","BV","VR","BR","galaxy_name","host_galaxy_group_type","host_galaxy_mass","galcen_radius","90percent"
879.86,2167.3,20.379,1,0.629,1.629,"NGC7457","S0",10.6,3.29438,1
2689.28,2214.3,23.471,0.795,0.424,1.219,"NGC7457","S0",10.6,2.68478,0
1746.49,2298.7,23.795,0.677,0.485,1.162,"NGC7457","S0",10.6,1.89973,0
2122.59,2311.38,23.589,0.819,0.398,1.217,"NGC7457","S0",10.6,1.85977,0
690.78,2322.55,23.32,0.76,0.436,1.196,"NGC7457","S0",10.6,3.43917,0
3786.38,2337.55,22.309,0.731,0.439,1.17,"NGC7457","S0",10.6,4.6588,1
1327.67,2439.32,22.603,0.694,0.415,1.109,"NGC7457","S0",10.6,2.09238,1
2333.67,2467.02,23.183,0.659,0.531,1.19,"NGC7457","S0",10.6,1.71093,1
1399,2488.66,22.208,0.74,0.432,1.172,"NGC7457","S0",10.6,1.89362,1
2128.38,2491.1,24.189,0.605,0.291,0.896,"NGC7457","S0",10.6,1.45626,0
3617.49,2508.31,19.7,0.743,0.442,1.185,"NGC7457","S0",10.6,4.14764,1
3211.17,2527.35,24.299,0.574,0.287,0.861,"NGC7457","S0",10.6,3.24371,0
2937.2,2543.26,22.834,0.759,0.487,1.246,"NGC7457","S0",10.6,2.65039,1
1609.03,2545.06,23.372,0.812,0.531,1.343,"NGC7457","S0",10.6,1.48902,0
1759.35,2563.54,22.681,0.578,0.457,1.035,"NGC7457","S0",10.6,1.29596,1
2688.71,2614.3,22.781,0.672,0.445,1.117,"NGC7457","S0",10.6,2.0636,1
1107.52,2631.17,21.346,0.589,0.358,0.947,"NGC7457","S0",10.6,2.23101,1
2524.65,2653.41,22.362,0.643,0.418,1.061,"NGC7457","S0",10.6,1.69439,1
2008.31,2661.64,22.695,0.77,0.456,1.226,"NGC7457","S0",10.6,1.00243,1
1917.6,2682.48,22.75,0.723,0.455,1.178,"NGC7457","S0",10.6,0.944405,1
1830.46,2736.81,22.145,0.713,0.424,1.137,"NGC7457","S0",10.6,0.857555,1
1456.51,2738.45,23.472,0.764,0.47,1.234,"NGC7457","S0",10.6,1.40197,0
1916.89,2743.11,23.391,0.64,0.408,1.048,"NGC7457","S0",10.6,0.802753,0
2526.49,2748.19,22.506,0.659,0.461,1.12,"NGC7457","S0",10.6,1.57586,1
2732.32,2754.44,23.685,0.61,0.464,1.074,"NGC7457","S0",10.6,2.00249,0
1584.15,2756.57,23.26,0.8,0.456,1.256,"NGC7457","S0",10.6,1.14176,0
3960.75,2805.38,23.608,0.663,0.506,1.169,"NGC7457","S0",10.6,4.77161,0
1209.27,2813.06,22.907,0.788,0.514,1.302,"NGC7457","S0",10.6,1.83666,1
806.87,2827.68,21.874,0.559,0.376,0.935,"NGC7457","S0",10.6,2.73327,1
1592.88,2852.77,22.108,0.737,0.449,1.186,"NGC7457","S0",10.6,0.986629,1
1930.29,2859.52,23.19,0.633,0.5,1.133,"NGC7457","S0",10.6,0.528262,0
1126.47,2879.68,23.796,0.753,0.48,1.233,"NGC7457","S0",10.6,1.97614,0
1689.36,2924.25,21.544,0.703,0.458,1.161,"NGC7457","S0",10.6,0.705666,1
1659.91,2932.8,23.705,0.97,0.564,1.534,"NGC7457","S0",10.6,0.755349,0
1640.42,2939.15,22.189,0.708,0.447,1.155,"NGC7457","S0",10.6,0.789407,1
1828.02,2953.01,21.634,0.852,0.486,1.338,"NGC7457","S0",10.6,0.411227,1
2187.25,2957.53,22.532,0.859,0.544,1.403,"NGC7457","S0",10.6,0.642621,1
1760.14,2965.44,23.365,0.739,0.529,1.268,"NGC7457","S0",10.6,0.513804,0
1728.56,2964.72,25.007,0.813,0.657,1.47,"NGC7457","S0",10.6,0.578191,0
3990.74,3022.8,23.94,0.71,0.379,1.089,"NGC7457","S0",10.6,4.79931,0
1713.47,3058.74,22.939,0.818,0.525,1.343,"NGC7457","S0",10.6,0.544124,1
2055.34,3155.61,22.451,0.906,0.453,1.359,"NGC7457","S0",10.6,0.309564,1
3866.49,3168.72,22.149,0.825,0.554,1.379,"NGC7457","S0",10.6,4.51041,1
2006.81,3169.68,21.688,0.773,0.343,1.116,"NGC7457","S0",10.6,0.24813,1
1888.33,3177.31,21.994,0.638,0.503,1.141,"NGC7457","S0",10.6,0.254054,1
1957.33,3184.8,23.355,0.616,0.466,1.082,"NGC7457","S0",10.6,0.237413,0
1893.55,3190.2,23.236,0.607,0.485,1.092,"NGC7457","S0",10.6,0.274897,0
2044.99,3189.87,22.617,0.766,0.321,1.087,"NGC7457","S0",10.6,0.342143,1
2858.18,3194.97,23.627,0.798,0.535,1.333,"NGC7457","S0",10.6,2.15824,0
3856.73,3213.05,23.367,0.652,0.398,1.05,"NGC7457","S0",10.6,4.49339,0
3048.7,3221.56,24.476,0.868,0.538,1.406,"NGC7457","S0",10.6,2.60912,0
1920.71,3222.58,22.101,0.847,0.532,1.379,"NGC7457","S0",10.6,0.32856,1
154.09,3229.56,20.9,0.83,0.513,1.343,"NGC7457","S0",10.6,4.20956,1
