bx,by,V,BV,VR,BR,galaxy_name,host_galaxy_group_type,host_galaxy_mass,galcen_radius
"1,209.27","2,813.06",22.907,0.788,0.514,1.302,NGC 7457,S0,10.6,1.83666
806.87,"2,827.68",21.874,0.559,0.376,0.935,NGC 7457,S0,10.6,2.73327
"1,592.88","2,852.77",22.108,0.737,0.449,1.186,NGC 7457,S0,10.6,0.986629
"1,689.36","2,924.25",21.544,0.703,0.458,1.161,NGC 7457,S0,10.6,0.705666
"1,640.42","2,939.15",22.189,0.708,0.447,1.155,NGC 7457,S0,10.6,0.789407
"1,828.02","2,953.01",21.634,0.852,0.486,1.338,NGC 7457,S0,10.6,0.411227
"2,187.25","2,957.53",22.532,0.859,0.544,1.403,NGC 7457,S0,10.6,0.642621
"1,713.47","3,058.74",22.939,0.818,0.525,1.343,NGC 7457,S0,10.6,0.544124
"2,055.34","3,155.61",22.451,0.906,0.453,1.359,NGC 7457,S0,10.6,0.309564
"3,866.49","3,168.72",22.149,0.825,0.554,1.379,NGC 7457,S0,10.6,4.51041
"2,006.81","3,169.68",21.688,0.773,0.343,1.116,NGC 7457,S0,10.6,0.24813
"1,888.33","3,177.31",21.994,0.638,0.503,1.141,NGC 7457,S0,10.6,0.254054
"2,044.99","3,189.87",22.617,0.766,0.321,1.087,NGC 7457,S0,10.6,0.342143
"1,920.71","3,222.58",22.101,0.847,0.532,1.379,NGC 7457,S0,10.6,0.32856
154.09,"3,229.56",20.9,0.83,0.513,1.343,NGC 7457,S0,10.6,4.20956
"2,218.71","3,232.8",22.926,0.776,0.482,1.258,NGC 7457,S0,10.6,0.731737
"3,490.02","3,336.54",21.755,0.664,0.43,1.094,NGC 7457,S0,10.6,3.67174
"1,813.7","3,359.79",22.081,0.657,0.482,1.139,NGC 7457,S0,10.6,0.714258
"2,523.07","3,365.25",22.029,0.77,0.488,1.258,NGC 7457,S0,10.6,1.50861
"2,796.79","3,368.46",23.063,0.646,0.378,1.024,NGC 7457,S0,10.6,2.10696
"2,014.49","3,369.2",21.799,0.69,0.46,1.15,NGC 7457,S0,10.6,0.687847
"2,293.15","3,392.51",22.612,0.708,0.481,1.189,NGC 7457,S0,10.6,1.09162
"2,469.36","3,388.22",22.249,0.804,0.456,1.26,NGC 7457,S0,10.6,1.42263
"1,749.39","3,399.24",23.01,0.681,0.533,1.214,NGC 7457,S0,10.6,0.86771
"2,243.53","3,407.59",22.006,0.849,0.525,1.374,NGC 7457,S0,10.6,1.03302
"2,089.41","3,417.61",22.097,0.784,0.523,1.307,NGC 7457,S0,10.6,0.852346
483.4,"3,447.75",23.106,0.678,0.515,1.193,NGC 7457,S0,10.6,3.52798
872.82,"3,545.26",20.388,0.776,0.498,1.274,NGC 7457,S0,10.6,2.73328
"2,948.38","3,575.55",20.925,0.698,0.431,1.129,NGC 7457,S0,10.6,2.62103
"2,614.19","3,777.05",22.985,1.005,0.576,1.581,NGC 7457,S0,10.6,2.25978
"3,426.87","3,965.68",21.369,0.778,0.471,1.249,NGC 7457,S0,10.6,4.04426
"1,414.3",31.58,23.155,0.734,0.506,1.24,NGC 7339,Spiral,10.7,6.02138
"3,188.03",93.23,23.231,0.928,0.653,1.581,NGC 7339,Spiral,10.7,7.73238
"2,519.97",109.23,22.951,0.911,0.597,1.508,NGC 7339,Spiral,10.7,6.76649
"3,225.07",222.4,20.287,0.613,0.391,1.004,NGC 7339,Spiral,10.7,7.56747
"3,538.13",562.89,20.832,0.875,0.546,1.421,NGC 7339,Spiral,10.7,7.57041
"3,947.53",667.35,20.927,0.865,0.554,1.419,NGC 7339,Spiral,10.7,8.20953
"2,587.14",677.51,22.725,0.729,0.477,1.206,NGC 7339,Spiral,10.7,5.77522
36.41,820.67,21.225,0.561,0.393,0.954,NGC 7339,Spiral,10.7,4.69061
"2,013.31",907.43,23.343,0.772,0.599,1.371,NGC 7339,Spiral,10.7,4.55089
"1,794.82",919.35,23.19,0.733,0.443,1.176,NGC 7339,Spiral,10.7,4.28264
"3,320.26",985.7,20.828,0.744,0.447,1.191,NGC 7339,Spiral,10.7,6.57077
551.91,"1,021.36",22.027,0.735,0.38,1.115,NGC 7339,Spiral,10.7,3.78242
"3,417.89","1,107.57",22.593,0.77,0.469,1.239,NGC 7339,Spiral,10.7,6.6088
"2,353.23","1,125.03",21.974,0.693,0.501,1.194,NGC 7339,Spiral,10.7,4.62557
"2,382.45","1,215.66",22.621,0.584,0.446,1.03,NGC 7339,Spiral,10.7,4.52122
18.57,"1,622.07",22.746,0.804,0.522,1.326,NGC 7339,Spiral,10.7,3.21404
"1,280.6","1,680.52",20.816,0.735,0.465,1.2,NGC 7339,Spiral,10.7,2.17741
"1,546.68","1,697.57",22.053,0.727,0.531,1.258,NGC 7339,Spiral,10.7,2.40035
89.57,"1,848.65",21.459,0.561,0.44,1.001,NGC 7339,Spiral,10.7,2.73999
908.96,"1,980.18",23,0.657,0.345,1.002,NGC 7339,Spiral,10.7,1.39987
"2,084.43","2,229.86",23.517,0.684,0.57,1.254,NGC 7339,Spiral,10.7,2.64606
539.37,"2,358.25",21.432,0.797,0.48,1.277,NGC 7339,Spiral,10.7,1.20773
731.35,"2,366.37",23.441,0.591,0.481,1.072,NGC 7339,Spiral,10.7,0.806301
204.44,"2,418.82",22.406,0.844,0.55,1.394,NGC 7339,Spiral,10.7,1.92057
"1,224.79","2,419.38",23.123,0.7,0.552,1.252,NGC 7339,Spiral,10.7,0.6162
898.09,"2,422.65",23.594,0.971,0.512,1.483,NGC 7339,Spiral,10.7,0.430623
"1,076.49","2,487.74",23.438,0.696,0.492,1.188,NGC 7339,Spiral,10.7,0.247995
249.89,"2,500.98",23.487,0.696,0.518,1.214,NGC 7339,Spiral,10.7,1.78841
"3,931.06","2,517.49",21.955,0.793,0.457,1.25,NGC 7339,Spiral,10.7,6.85889
