name,group_type,type,S_N,S_N_err,ra,dec,distance,distance_err,dmod,dmod_err,M_V,M_V_err,T,T_err,N_GC,N_GC_err,environment,density,F_blue,T_blue,Extent,Extent_err,id,Source,mass,mass_err,oursurvey,M_BH,name2,sig_e,sig_e_err,R_e,R_e_err,Mdyn,Mdyn_err,m_K,m_K_err,M_K,M_K_err
NGC2683,Spiral,Sb,0.8,0.4,133.1721992,33.4217389,7.73,1.39,29.4,0.4,-20.47,0.46,1.4,0.7,120,40,Field,0.09,0.68,0.9,9,3,19,R07,10.9,0.2,Our survey,NA,NGC2683,117.5,9,2.09,0.38,10.43,0.14,6.33,0.02,-23.11,0.39
NGC7457,S0,S0,3.1,0.7,345.2497258,30.1449408,13.24,1.34,30.6,0.2,-19.54,0.25,4.8,1.1,210,30,Field,0.13,0.58,2.8,12,2,15,H11,10.6,0.1,Our survey,6.59106,NGC7457,67,3,2.06,0.21,9.93,0.08,8.19,0.02,-22.42,0.22
NGC4425,S0,SB0,1.6,0.5,186.8055508,12.7347234,16.8,5,31.1,0.6,-19.4,0.2,2.5,0.8,90,10,Virgo,3.44,NA,NA,10,2,16,In Prep,10.6,0.1,Our survey,NA,NGC4425,75.9,6.1,1.95,0.9,10.02,0.23,9.01,0.03,-22.12,0.65
NGC3379,E,E1,1.2,0.3,161.9566158,12.5816239,10.2,0.5,30.0,0.1,-20.9,0.2,1.4,0.3,270,30,Leo-I,0.52,0.7,1,34,4,6,R04,11.3,0.1,Our survey,8.04139,NGC3379,206,10,1.79,0.14,10.85,0.07,6.27,0.02,-23.77,0.11
NGC7332,S0,S0pec,0.9,0.3,339.35225,23.7983333,23.01,2.22,31.8,0.2,-20.75,0.25,1.4,0.4,175,15,Isolated,0.12,0.57,0.8,13.1,3.1,12,Y12,11.1,0.1,Our survey,7.11394,NGC7332,124.9,3.3,1.64,0.16,10.37,0.06,8.01,0.01,-23.80,0.21
NGC3384,S0,SB0,0.8,0.2,162.0703582,12.6292732,11.59,0.76,30.3,0.1,-20.48,0.2,1.2,0.4,120,30,Leo-I,0.54,0.6,0.7,17,4,14,H12,11,0.08,Our survey,7.25527,NGC3384,143,7,1.4,0.09,10.42,0.07,6.75,0.02,-23.57,0.14
NGC4387,E,E5,0.6,0.3,186.4236678,12.8105149,18,0.62,31.3,0.1,-19.63,0.2,0.6,0.3,41,9,Virgo,3.62,NA,NA,5.5,1,7,In Prep,10.8,0.1,Our survey,NA,NGC4387,105,2.5,1.27,0.04,10.11,0.03,9.15,0.02,-22.12,0.08
NGC7507,E,E0,0.6,NA,NA,NA,25.2,NA,32.0,0.2,-22.2,0.13,0.7,0.1,420,41,Field,NA,0.5,NA,47.25,13.7477270848675,NA,,11.8,0.1,Other studies,NA,,219.1,2.8,NA,NA,,,7.29,0.01,-24.72,0.17
NGC5812,E,E0,1.1,0.33,225.2321167,-7.4573139,27.7,0.2,32.2,0.0,-21.4,0.3,1.29,0.39,400,120,Isol,0.19,NA,NA,27,5.19615242270663,38,La12,11.49,0.120000000000001,Other studies,NA,NGC5812,198.9,4.5,NA,NA,,,7.96,0.02,-24.25,0.02
NGC6166,E,cD,11.2,0.6,NA,NA,129,NA,35.5,0.4,-23.9,0.3,13.2,0.7,39000,2000,,NA,0.6,7.5,260,20,NA,Ha16,12.5,0.1,Other studies,NA,,308.2,6.9,30.06,2.1,12.42,0.05,NA,NA,,
NGC1399,E,E1pec,6.97,0.8,54.6211792,-35.4507417,20.68,0.5,31.6,0.1,-22.34,0.2,8.16,0.98,5800,700,Fornax,1.59,0.6,4.18,NA,NA,31,Di03/Ba06,11.85,0.08,Other studies,9.04139,NGC1399,337,16,9.7,0.23,12.01,0.05,6.31,0.03,-25.27,0.06
NGC4365,E,E3,7.7,0.77,186.1176167,7.3175194,23.33,0.65,31.8,0.1,-22.31,0.2,8.99,0.9,6450,645,Virgo?,2.93,NA,NA,134,10,36,Blo11,11.86,0.08,Other studies,NA,NGC4365,256.1,3.4,7.83,0.22,11.68,0.02,6.64,0.03,-25.20,0.07
NGC2768,S0,E/S0,1.3,0.1,NA,NA,22.4,1,31.8,0.2,-21.9,0.3,2,0.2,744,68,,NA,0.7,NA,63,3,NA,Sluggs,11.6,0.1,Other studies,NA,,181.1,3.7,6.8,0.8,11.31,0.07,7.00,0.03,-24.75,0.24
NGC5128,E,Epec,1.5,0.2,201.365062792,-43.019112583,3.8,0.07,27.9,0.0,-22.03,0.2,1.77,0.22,980,120,Isol,0.2,0.53,1.47,NA,NA,35,Ha04,11.74,0.08,Other studies,8.49136,NGC5128,150,7,6.15,0.12,11.11,0.05,3.94,0.02,-23.96,0.04
NGC821,E,E6,1.3,0.2,32.088125,10.9948694,23.38,1.24,31.8,0.1,-21,0.2,1.49,0.21,320,45,Isol,0.08,0.7,1.04,26,5,30,Sp08,11.33,0.08,Other studies,7.5682,NGC821,209,10,5.64,0.3,11.36,0.06,7.90,0.02,-23.94,0.12
NGC4753,S0,S0,1.3,0.2,NA,NA,23.6,1.2,31.9,0.1,-22.3,0.4,1.5,0.2,1070,120,Virgo,NA,NA,NA,50,5,NA,Caso15,11.9,0.2,Other studies,NA,,162.5,8.7,5.6,0.23,11.14,0.06,6.72,0.03,-25.14,0.11
NGC720,E,E5,3.2,0.2,NA,NA,27.6,NA,32.2,0.2,-21.7,0.4,3.7,0.2,1489,96,,NA,0.6,NA,68,6,NA,Sluggs,11.6,0.2,Other studies,NA,,241.1,6.7,4.84,0.39,11.42,0.06,7.27,0.02,-24.93,0.17
M31,Spiral,Sb?,0.9,0.2,10.6847929,41.269065,0.8,0.05,24.5,0.1,-21.8,0.2,1.6,0.4,450,100,Field,NA,0.72,1.2,NA,NA,23,AZ98,11.4,0.1,Other studies,8.14613,M31,160,8,4.66,0.12,11.04,0.05,0.98,0.02,-23.53,0.14
NGC3585,E,E6,1,0.31,168.3212875,-26.7549889,21.2,1.73,31.6,0.2,-21.8,0.23,1.23,0.37,550,165,Isol,0.12,NA,NA,42,6.48074069840786,37,La12,11.65,0.09,Other studies,NA,NGC3585,213,10,4.27,0.37,11.25,0.08,6.70,0.02,-24.93,0.18
NGC3607,S0,S0,NA,NA,NA,NA,22.2,NA,31.8,0.2,-21.9,0.3,NA,NA,NA,NA,Group,NA,0.5,NA,61,5,NA,Sluggs,11.6,0.1,Other studies,NA,,229,11,4.18,0.42,11.31,0.08,6.99,0.02,-24.80,0.17
NGC3608,E,E1-E2,NA,NA,NA,NA,22.3,NA,31.8,0.1,-21,0.3,NA,NA,NA,NA,Group,NA,0.7,NA,43,5,NA,Sluggs,11.3,0.1,Other studies,NA,,182,9,3.74,0.25,11.06,0.07,8.10,0.02,-23.70,0.14
