Galaxy,Type,N_GC,N_GC_err,M_K,sig_e,R_e,,
NGC4476,S0,20.1,7.3,-21.783,59.8,1.88,,
VCC-1254,d/Irr,26,11,-19.323,31.4,0.93,,
NGC4482,E,35.1,7.6,-20.724,40.3,2.14,,
NGC4478,E,58,11,-22.812,137.4,1.08,,
NGC4479,S0,58.6,9.3,-21.44,83.3,1.94,,
NGC4486B,E,4,11,-20.977,169.2,0.49,,
VCC-1308,d/Irr,8.2,5.1,-18.252,33.6,0.8,,
NGC4486,E,13000,800,-25.348,375,7.3,,
NGC4489,E,31,9,-21.58,53.1,1.3,,
NGC4486A,E,11,12,-22.314,111,0.54,,
NGC4494,E,392,49,-24.17,150.2,4.02,,
IC3461,E,49.7,8.6,-18.717,28.6,0.92,,
IC3468,E,24.9,6,-20.436,34.4,1.51,,
NGC4515,S0,81,10,-21.232,86,0.84,,
IC3487,E/S0,7.3,4.2,-18.834,28.9,0.91,,
NGC4526,S0,388,117,-24.674,251.1,1.96,,
NGC4528,S0,31.4,7.2,-22.04,116.8,0.79,,
NGC4550,S0,84,19,-22.265,96.4,1.42,,
NGC4551,E,47,11,-22.187,106.8,1.24,,
NGC4552,E,1100,200,-24.292,252.5,3.7,,
NGC4565,Spiral,204,60,-25.156,136,7.32,,
NGC4564,E,213,31,-23.078,162,1.78,,
NGC4570,S0,139,23,-23.483,187.9,1.92,,
NGC4589,E,1052,162,-23.962,224.1,4.12,,
NGC4578,S0,62,13,-22.671,120.3,2.46,,
IC3602,E,9.8,6.4,-18.232,27,1.79,,
NGC4594,Spiral,1900,200,-25.006,240,3.41,,
IC3633,E,4.5,3.9,-17.562,22.3,0.6,,
IC3651,S0,2700,780,-23.85,183,1.18,,
IC3653,E,10.4,5,-20.383,49,0.55,,
NGC4612,S0,83,25,-22.537,62.6,2.3,,
NGC4621,E,803,355,-24.125,225.1,4.57,,
NGC4623,S0,71,14,-21.732,85.6,2.16,,
NGC4638,S0,59.8,9.2,-23.003,121.9,1.71,,
NGC4636,E,4200,120,-24.419,203.1,6.71,,
NGC4649,E,4000,500,-25.434,385,7.12,,
NGC4660,E,205,28,-22.682,188.5,1.07,,
IC3735,E,23.9,6.1,-19.792,37,1.5,,
IC3773,E,17.2,5.4,-19.87,62.2,1.32,,
IC3779,E,9.2,4.3,-18.191,43,1.18,,
NGC4697,E,229,70,-24.042,177,4.19,,
NGC4754,S0,110,12,-23.625,186.4,2.26,,
NGC4762,S0,240,25,-24.599,147.1,10.44,,
NGC4816,E/S0,6100,1400,-25.349,244.5,10.82,,
NGC4839,E,6500,2000,-25.994,284.8,19.36,,
NGC4840,E,1290,620,-24.235,238.1,3.03,,
IC3959,E,880,330,-24.02,208,3.07,,
IC3976,E,920,250,-23.548,252,1.91,,
NGC4874,E,20000,2000,-26.278,278.9,16.12,,
NGC4881,E,295,89,-24.615,199.6,5.43,,
NGC4886,E,1220,480,-26.487,163.2,4.54,,
NGC4889,E,11000,2000,-26.521,400.8,15.11,,
IC4021,E,160,159,-22.893,171.9,1.47,,
IC4026,S0,650,190,-23.861,142.7,4.22,,
IC4041,E,470,160,-23.452,135.6,5.83,,
IC4045,E,1100,510,-24.168,217.1,3.18,,
IC4051,E,6700,530,-25.15,250.1,12.19,,
NGC4926,E/S0,1300,300,-25.443,275.8,7.11,,
NGC5018,E,1000,300,-25.094,209.6,3.87,,
NGC5102,S0,7,6,-20.689,82,1.03,,
NGC5128,E,1300,300,-23.998,150,6.15,,
ESO-509-G008,E,6000,1500,-26.096,317.6,10,,
ESO-444-G046,E,32500,8000,-27.08,251.9,30,,
NGC5170,Spiral,500,200,-24.071,90.2,6.28,,
NGC5194,Spiral,220,45,-23.926,96,4.62,,
NGC5193,E,5878,355,-24.233,205.7,4.2,,
IC4296,E,6400,300,-25.997,322,10.71,,
ESO-383-G076,E,22500,5500,-26.842,322.6,55,,
IC4329,E/S0,2970,530,-26.148,296,19.53,,
NGC5322,E,1600,500,-25.315,232,5.09,,
NGC5457,Spiral,150,40,-23.682,73.1,11.5,,
NGC5557,E,3500,1000,-24.873,253,5.67,,
NGC5813,E,2900,400,-25.147,236.5,8.93,,
NGC5846,E,4670,1195,-25.065,239.3,7.56,,
NGC5866,S0,370,70,-24.062,159,3.01,,
UGC-9799,E,18000,4500,-26.358,215.8,3.3,,
NGC5982,E,1497,202,-24.944,238.9,4.79,,
