_RAJ2000	_DEJ2000	r_Name	Name	Vmag	B-V	B-R	Rad	HRV	e_HRV
190.03125	-11.59764	RZ 	2491	20.49	 0.75	 1.25	 2.50	 1163.0	 11.9
190.03108	-11.60366	RZ 	2493	21.57	 0.65	 1.20	 2.29	  897.0	 32.0
190.03029	-11.61241	RZ 	2502	19.92	 0.88	 1.41	 2.02	 1346.1	  6.8
190.03021	-11.67373	RZ 	2503	20.28	 0.80	 1.27	 3.59	  770.0	 10.0
190.02950	-11.60132	RZ 	2512	19.67	 0.92	 1.50	 2.28	 1189.8	 27.6
190.02917	-11.50660	RZ 	2521	21.63	 0.77	 1.34	 7.23	  279.9	  8.4
190.28383	-11.84632	RZ 	 253	19.89	 0.85	 1.44	21.49	  168.0	 23.0
190.02817	-11.64078	RZ 	2532	21.50	 0.80	 1.27	 2.09	 1134.0	  8.0
190.02667	-11.67037	RZ 	2544	21.10	 0.81	 1.34	 3.31	 1505.0	119.0
190.02650	-11.67828	RZ 	2546	21.74	 0.84	 1.39	 3.72	 1135.5	 20.1
190.02637	-11.58686	RZ 	2549	22.84	 0.91	 1.47	 2.75	  862.0	 39.0
190.02629	-11.61310	RZ 	2551	20.40	 1.04	 1.61	 1.79	  808.0	 39.0
190.02533	-11.53711	RZ 	2558	20.56	 0.83	 1.37	 5.41	  108.0	  8.0
190.02462	-11.65696	RZ 	2567	21.12	 0.65	 1.08	 2.58	 1346.4	 10.0
190.02442	-11.76750	RZ 	2568	22.88	 1.09	 1.62	 8.81	  613.0	 19.0
190.02379	-11.70502	RZ 	2572	20.91	 0.69	 1.14	 5.15	 1176.0	 13.0
190.02354	-11.54152	RZ 	2576	20.38	 0.62	 1.09	 5.12	  611.0	  9.0
190.02325	-11.44567	RZ 	2582	19.46	 0.71	 1.16	10.75	    0.0	 24.0
190.02283	-11.43813	RZ 	2584	20.06	 0.65	 1.15	11.19	 1070.4	  7.1
190.02196	-11.72090	RZ 	2593	22.27	 0.98	 1.56	 6.04	 1186.0	 21.0
190.02054	-11.59096	RZ 	2611	21.76	 0.85	 1.45	 2.35	  888.0	 22.0
190.01950	-11.68159	RZ 	2623	21.64	 0.80	 1.39	 3.74	 1113.0	 18.0
190.01904	-11.53263	RZ 	2632	20.32	 0.69	 1.19	 5.57	  304.0	 11.0
190.01854	-11.67180	RZ 	2637	20.86	 0.91	 1.45	 3.17	 1141.5	  8.7
190.01575	-11.88036	RZ 	2654	21.42	 0.96	 1.49	15.47	  168.9	 11.1
190.01567	-11.75990	RZ 	2658	20.62	 0.67	 1.12	 8.28	 1723.0	  8.0
190.01558	-11.67123	RZ 	2659	22.98	 0.90	 1.52	 3.08	 1436.0	 41.0
190.01521	-11.71819	RZ 	2664	21.59	 0.72	 1.20	 5.80	 1295.0	 15.0
190.01525	-11.58059	RZ 	2666	19.76	 0.86	 1.41	 2.75	 1064.0	137.0
190.01517	-11.48768	RZ 	2668	21.39	 0.69	 1.18	 8.19	 1169.4	  9.1
190.01512	-11.54491	RZ 	2669	20.48	 0.86	 1.44	 4.80	 1418.0	 32.1
190.01479	-11.76762	RZ 	2672	23.00	 0.85	 1.33	 8.73	  299.0	 12.0
190.01379	-11.72709	RZ 	2687	21.49	 0.66	 1.12	 6.31	  912.0	 16.0
190.01354	-11.56854	RZ 	2694	21.77	 0.66	 1.11	 3.40	 1113.0	 48.0
190.01358	-11.37146	RZ 	2695	20.64	 0.59	 1.02	15.12	 1412.2	 17.0
190.01083	-11.67486	RZ 	2720	21.77	 0.63	 1.11	 3.20	  826.0	 21.0
190.27962	-11.62852	RZ 	 273	21.40	 0.59	 0.95	16.58	  255.7	  7.8
190.00917	-11.66308	RZ 	2747	22.35	 0.90	 1.35	 2.50	 1253.0	 62.0
190.00917	-11.50743	RZ 	2748	19.87	 0.74	 1.22	 6.97	 1150.9	 36.6
190.00887	-11.86325	RZ 	2749	19.64	 0.59	 0.94	14.43	  315.4	 11.4
