"V","BR","90percent","galcen_radius","galcen_ratio"
23.185,1.073,0,13.0739,0.983003
22.874,1.335,0,10.4113,0.782804
23.183,1.387,0,9.23732,0.694535
21.469,1.159,1,10.8563,0.816261
23.151,1.066,0,8.40463,0.631927
22.841,1.246,0,14.2938,1.07472
23.468,0.991,0,10.9205,0.821087
22.275,1.296,0,17.6402,1.32633
22.058,1.395,0,14.8223,1.11446
22.653,1.246,0,14.4431,1.08595
23.233,0.82,0,12.5614,0.944467
22.941,1.463,0,9.32885,0.701417
23.435,0.792,0,18.5111,1.39181
21.515,1.612,1,10.2574,0.771235
22.835,1.246,1,7.4066,0.556887
21.346,1.303,0,12.6001,0.947377
21.894,1.292,1,7.31934,0.550326
22.462,1.562,1,11.8771,0.893016
23.161,1.762,0,13.7654,1.035
22.985,1.244,0,13.5794,1.02101
23.351,0.879,0,19.8168,1.48999
23.022,1.601,1,9.00613,0.677152
21.332,1.272,1,12.0946,0.909368
22.407,1.03,1,8.7528,0.658106
21.021,1.044,0,12.8078,0.962995
23.383,1.198,0,7.52839,0.566044
21.833,1.547,1,10.5119,0.79037
23.058,1.082,0,7.87439,0.592059
22.604,1.275,1,7.24126,0.544456
21.462,1.224,1,7.01823,0.527686
22.747,1.175,1,9.83039,0.739127
22.778,1.38,1,6.9712,0.52415
22.859,1.293,0,10.8129,0.812998
22.918,1.107,0,12.6884,0.954012
23.077,1.234,0,16.6393,1.25107
22.196,1.29,1,9.94444,0.747702
21.49,1.299,1,8.79928,0.6616
23.422,1.093,0,19.2671,1.44866
23.043,1.468,0,8.2366,0.619293
21.055,1.109,1,7.21687,0.542622
21.865,1.23,1,7.33512,0.551513
23.383,1.779,0,14.1969,1.06743
23.266,1.311,0,10.6805,0.803047
23.085,1.596,0,8.4386,0.634481
22.996,1.212,0,7.83959,0.589443
21.003,1.248,1,6.8194,0.512737
20.944,1.553,1,6.55956,0.4932
22.68,1.486,1,12.2962,0.924527
23.179,1.108,0,7.24276,0.544568
21.324,1.041,0,18.5839,1.39729
23.009,1.04,0,14.5088,1.09089
22.77,1.505,1,6.40301,0.481429
23.151,1.68,0,8.5191,0.640534
23.32,1.271,0,14.4007,1.08276
22.03,1.194,1,6.3099,0.474428
22.558,1.313,1,6.30005,0.473688
23.329,1.271,0,6.39626,0.480922
23.383,1.176,0,7.73645,0.581688
22.034,1.121,1,11.193,0.841575
23.281,1.161,0,8.94535,0.672583
21.648,1.145,0,12.8496,0.966136
21.179,1.545,0,19.6346,1.47629
22.882,1.609,1,7.18088,0.539916
22.323,1.304,0,14.4211,1.08429
22.729,1.432,1,6.77011,0.509031
22.941,1.407,0,11.909,0.895412
22.961,1.432,0,8.4656,0.636511
22.548,1.067,0,17.3592,1.3052
21.779,1.011,1,8.88112,0.667753
21.711,1.22,1,5.72454,0.430416
23.232,1.295,0,6.1206,0.460196
22.846,1.492,1,6.20482,0.466528
22.451,1.188,1,6.88203,0.517446
21.691,0.973,1,5.64597,0.424509
21.492,1.052,0,12.9729,0.975404
23.439,1.412,0,16.754,1.2597
21.931,1.53,1,5.45652,0.410265
23.439,1.171,0,6.48164,0.487341
23.487,1.281,0,6.01399,0.45218
22.4,0.984,1,6.80033,0.511303
22.92,1.498,1,5.64764,0.424635
23.111,0.967,0,5.68879,0.427728
21.731,1.445,0,16.5562,1.24482
22.638,1.317,1,5.47442,0.411611
21.903,1.109,1,6.30109,0.473766
23.334,1.316,0,13.8144,1.03867
23.163,1.177,0,9.99105,0.751207
23.32,1.02,0,9.13786,0.687057
23.311,1.645,0,5.98884,0.450289
22.76,1.599,1,5.33742,0.40131
22.453,1.346,1,5.67716,0.426854
22.727,1.02,1,6.49783,0.488559
22.653,1.229,1,8.3431,0.627301
22.266,1.142,0,12.7712,0.960237
22.488,1.333,1,5.07251,0.381392
23.458,0.968,0,11.2653,0.847012
22.279,1.435,0,19.6015,1.47379
21.878,1.426,1,7.18098,0.539923
23.211,1.163,0,6.90493,0.519167
21.449,0.989,0,17.6628,1.32803
23.414,1.25,0,17.1445,1.28906
