Galaxy,type,M_V,M_V_err,M_K,M_K_err,mass,,massdiff,mass_err,dmod,dmod_err,density,R_e,R_e_err,sig_e,sig_e_err,lg_M_B,lg_M_B_err_low,lg_M_B_err_high,,Galaxy,N_GC,N_GC_err,S_N,S_N_err,T,T_err,F_blue,T_blue,Extent,Extent_err,Source,SN_calc,T_calc,SN_diff,T_diff
NGC 4352,SA0,-18.7,0.2,-21.5,0.2,9.98,10.27,0.29,0.10,31.3,0.1,9999.00,2.00,0.01,70,6,9999.00,9999.00,9999.00,9999.00,NGC4352,114,12,3.53,0.38,12,3.5,0.82,9.8,NA,NA,Pe08,4.0,6.08,-0.422800095158865,5.92
NGC 4442,SB0,-20.5,0.2,-23.6,0.1,10.72,11.01,0.29,0.07,30.9,0.1,3.69,1.74,0.06,187,9,9999.00,9999.00,9999.00,9999.00,NGC4442,178,30,1.06,0.18,3.4,0.8,1,3.4,NA,NA,Pe08,1.1,1.74,-0.0734960272160921,1.65575932427282
NGC 4379,S0pec,-19.1,0.2,-22.1,0.1,10.23,10.46,0.23,0.07,30.9,0.1,2.89,1.18,0.04,116,5,9999.00,9999.00,9999.00,9999.00,NGC4379,50,14,0.95,0.27,3,1,0.56,1.7,NA,NA,Pe08,1.1,1.73,-0.174527302917889,1.27
NGC 1055,Sbc,-21.7,0.2,-23.9,0.5,11.10,11.30,0.20,0.10,31.1,0.5,0.25,5.34,1.20,74,14,9999.00,9999.00,9999.00,9999.00,NGC1055,220,30,0.9,0.2,1.7,0.5,0.59,1,26,6.9,Y12,0.5,1.10,0.4,0.604902779955746
NGC 4472,E2,-22.7,0.2,-25.8,0.1,12.20,12.00,0.20,0.10,31.2,0.1,3.31,12.65,0.16,294,3,9.26,0.12,0.12,9999.00,NGC4472,5870,680,3.6,0.6,4.2,0.6,0.6,2.6,102,7,RZ01,5.0,5.82,-1.4,-1.61618351652055
NGC 1316,SAB0pec,-23.1,0.2,-25.7,0.1,11.90,12.06,0.16,0.10,31.3,0.1,1.15,10.19,0.14,228,3,8.18,0.34,0.17,9999.00,NGC1316,1450,200,1.2,0.2,1.8,0.2,NA,NA,70,10,Richtler12,0.8,1.25,0.4,0.551023088950597
NGC 5128,Epec,-21.7,0.2,-24.0,0.1,11.74,11.61,0.13,0.08,27.9,0.1,0.20,6.15,0.12,150,7,7.65,0.11,0.14,9999.00,NGC5128,980,120,1.5,0.2,1.77,0.22,0.53,1.47,NA,NA,Ha04,2.0,2.39,-0.5,-0.62
NGC 4365,E3,-22.0,0.2,-25.2,0.1,11.86,11.74,0.12,0.08,31.8,0.1,2.93,7.83,0.22,256,3,9999.00,9999.00,9999.00,9999.00,NGC4365,6450,645,7.7,0.77,8.99,0.9,NA,NA,134,10,Blo11,10.1,11.85,-2.4,-2.86
NGC 1399,E1pec,-22.0,0.2,-25.3,0.1,11.85,11.74,0.11,0.08,31.6,0.1,1.59,9.70,0.23,337,16,8.67,0.05,0.06,9999.00,NGC1399,5800,700,6.97,0.8,8.16,0.98,0.6,4.18,NA,NA,Di03/Ba06,9.1,10.65,-2.13810426513459,-2.49
NGC 4762,SB0,-21.5,0.2,-24.6,0.2,11.30,11.40,0.10,0.10,31.9,0.2,2.65,10.44,1.09,147,10,9999.00,9999.00,9999.00,9999.00,NGC4762,270,30,0.9,0.2,1.4,0.4,0.4,0.6,27,7,H12,0.7,1.07,0.2,0.327122415120335
NGC 2768,SAb,-22.0,0.3,-24.8,0.2,11.60,11.51,0.09,0.10,31.8,0.2,0.31,6.80,0.80,181,4,9999.00,9999.00,9999.00,9999.00,NGC2768,744,68,1.3,0.1,2,0.2,0.7,NA,63,3,Sluggs,1.2,2.32,0.1,-0.32
NGC 4350,S0,-19.9,0.2,-23.1,0.1,10.86,10.77,0.09,0.08,31.0,0.1,2.72,2.05,0.10,181,7,8.74,0.10,0.10,9999.00,NGC4350,196,60,1.77,0.54,2.73,0.83,0.71,1.94,NA,NA,Pe08,2.2,3.34,-0.398982616596224,-0.61
NGC 4013,Sb,-20.5,0.3,-23.3,0.2,10.90,10.81,0.09,0.10,30.9,0.2,1.34,3.42,0.30,87,9,9999.00,9999.00,9999.00,9999.00,NGC4013,140,20,1,0.2,1.9,0.5,0.74,1.4,14,5,R10,0.9,2.14,0.1,-0.24367049935152
NGC 7457,S0,-19.7,0.3,-22.4,0.2,10.60,10.68,0.08,0.10,30.6,0.2,0.13,2.06,0.21,67,3,6.59,0.20,0.20,9999.00,NGC7457,210,30,3.1,0.7,4.8,1.1,0.58,2.8,12,2,H11,2.8,4.34,0.3,0.460839619604642
NGC 4464,S?,-18.5,0.2,-21.4,0.1,9.85,9.93,0.08,0.08,31.0,0.1,3.31,0.53,0.02,127,3,9999.00,9999.00,9999.00,9999.00,NGC4464,25,9,1.16,0.42,3.6,1.5,0.67,2.4,NA,NA,Pe08,1.0,2.94,0.155522972877649,0.6631618212174
NGC 4473,E5,-20.9,0.2,-23.8,0.1,11.21,11.28,0.07,0.08,30.9,0.1,2.17,3.01,0.10,190,9,8.08,0.50,0.12,9999.00,NGC4473,540,40,2.4,0.5,2.8,0.6,0.65,1.82,33,5,in Prep,2.4,2.83,-0.0,-0.0339602853487646
NGC 7331,Sb,-21.8,0.2,-24.9,0.1,11.40,11.45,0.05,0.10,30.9,0.1,0.33,6.22,0.29,137,4,9999.00,9999.00,9999.00,9999.00,NGC7331,210,130,0.5,0.4,0.9,0.7,0.5,0.4,18,4,R07,0.4,0.74,0.1,0.160582951528835
NGC 4157,Sb,-20.5,0.2,-23.6,0.4,10.90,10.85,0.05,0.10,30.9,0.4,1.19,2.64,0.53,90,4,9999.00,9999.00,9999.00,9999.00,NGC4157,80,20,0.6,0.3,1.1,0.6,0.55,0.6,21,4,R07,0.5,1.14,0.1,-0.0379416218453272
