Galaxy,type,Type,M_V,M_V_err,M_K,M_K_err,oldmass,mass,massdiff,mass_err,dmod,dmod_err,density,R_e,R_e_err,sig_e,sig_e_err,lg_M_B,lg_M_B_err_low,lg_M_B_err_high,,Galaxy,N_GC,N_GC_err,S_N,S_N_err,T,T_err,F_blue,T_blue,Extent,Extent_err,Source,SN_calc,T_calc,T_calc_err,SN_diff,T_diff,NGC_diff,newT,newT_err
NGC 4350,S0,S0,-19.9,0.2,-23.1,0.1,10.86,10.77,0.09,0.08,31.0,0.1,2.72,2.05,0.10,181,7,8.74,0.10,0.10,9999.00,NGC4350,196,60,1.77,0.54,2.73,0.22,0.71,1.94,NA,NA,Pe08,2.2,3.34,,-0.398982616596224,-0.61,208.7,3.55466262270514,0.22
NGC 4262,SB0pec,S0,-20.4,0.2,-22.7,0.1,10.20,10.98,0.78,0.09,31.1,0.1,3.00,0.82,0.02,190,14,9999.00,9999.00,9999.00,9999.00,NGC4262,100,31,0.7,0.53,1.1,0.8,0.77,4.9,NA,NA,Pe08,0.7,1.05,,0.0,0,177.3,1.87041150082659,0.82
NGC 4483,SB0,S0,-19.0,0.2,-21.8,0.2,10.02,10.40,0.38,0.09,31.1,0.2,3.83,1.42,0.13,100,10,9999.00,9999.00,9999.00,9999.00,NGC4483,72,18,1.9,0.53,2.9,0.8,0.94,6.5,NA,NA,Pe08,1.9,2.86,,0.0,0,92.5,3.67657883674998,0.82
NGC 4435,SB0,S0,-20.2,0.2,-23.8,0.1,10.12,10.91,0.79,0.23,31.1,0.1,3.99,2.94,0.09,157,6,9999.00,9999.00,9999.00,9999.00,NGC4435,345,80,2.77,0.53,4.3,0.8,0.75,19.4,NA,NA,Pe08,2.8,4.26,,0,0,411.1,5.07161000149318,0.82
NGC 4434,E,E,-20.0,0.2,-22.9,0.2,10.33,10.93,0.60,0.08,32.1,0.2,9999.00,1.42,0.05,120,3,9999.00,9999.00,9999.00,9999.00,NGC4434,141,34,1.41,0.5,1.6,0.6,0.89,5.9,NA,NA,Pe08,1.4,1.65,,0,0,191.0,2.23374383684796,0.58
NGC 4474,S0pec,S0,-19.4,0.2,-22.0,0.1,10.18,10.59,0.41,0.08,30.7,0.1,3.80,2.09,0.08,88,4,9999.00,9999.00,9999.00,9999.00,NGC4474,116,24,1.94,0.42,3.0,0.6,0.65,4.9,NA,NA,Pe08,1.9,2.99,,0,0,141.1,3.6361178493359,0.65
NGC 4464,S?,Spiral,-18.5,0.2,-21.4,0.1,9.85,9.93,0.08,0.08,31.0,0.1,3.31,0.53,0.02,127,3,9999.00,9999.00,9999.00,9999.00,NGC4464,25,9,1.00,0.42,2.9,1.2,0.67,2.4,NA,NA,Pe08,1.0,2.94,,0,0,35.5,4.16481253935346,1.23
NGC 4660,E?,E,-19.4,0.2,-22.9,0.1,10.38,10.68,0.30,0.07,31.1,0.1,3.37,1.07,0.03,189,3,9999.00,9999.00,9999.00,9999.00,NGC4660,205,28,3.63,0.41,4.2,0.5,0.87,7.5,NA,NA,Pe08,3.6,4.24,,0,0,228.2,4.72328451533977,0.48
NGC 4515,S0,S0,-18.6,0.2,-21.1,0.1,9.89,10.25,0.36,0.08,31.0,0.1,9999.00,0.84,0.03,86,3,9999.00,9999.00,9999.00,9999.00,NGC4515,81,10,2.94,0.4,4.5,0.6,0.96,10.1,NA,NA,Pe08,2.9,4.53,,0,0,92.0,5.14107661101722,0.62
NGC 4623,SB0,S0,-18.9,0.2,-21.7,0.1,10.03,10.37,0.34,0.10,31.2,0.1,2.36,2.16,0.07,86,15,9999.00,9999.00,9999.00,9999.00,NGC4623,71,14,1.96,0.4,3.0,0.6,0.82,5.4,NA,NA,Pe08,2.0,3.01,,0,0,85.5,3.62468236607788,0.62
NGC 4352,SA0,S0,-18.7,0.2,-21.5,0.2,9.98,10.27,0.29,0.10,31.3,0.1,9999.00,2.00,0.01,70,6,9999.00,9999.00,9999.00,9999.00,NGC4352,114,12,3.95,0.38,6.08,0.6,0.82,9.8,NA,NA,Pe08,4.0,6.08,,0,0.00,125.0,6.6673777272357,0.58
NGC 4612,SAB0,S0,-19.7,0.2,-22.5,0.1,10.22,10.69,0.47,0.09,31.1,0.1,2.66,2.30,0.07,63,3,9999.00,9999.00,9999.00,9999.00,NGC4612,83,25,1.09,0.34,1.68,0.5,0.69,3.5,NA,NA,Pe08,1.1,1.68,,0,0.00,108.8,2.20689627486169,0.52
NGC 4550,SB0,S0,-19.5,0.2,-22.0,0.1,10.24,10.60,0.36,0.07,30.6,0.1,2.97,1.42,0.05,96,4,9999.00,9999.00,9999.00,9999.00,NGC4550,84,19,1.36,0.34,2.1,0.5,0.73,3.6,NA,NA,Pe08,1.4,2.09,,0,0,105.1,2.60992437656269,0.52
NGC 4482,E,E,-18.4,0.2,-20.7,0.2,9.69,10.29,0.60,0.13,31.3,0.1,9999.00,2.14,0.07,40,5,9999.00,9999.00,9999.00,9999.00,NGC4482,35,8,1.53,0.33,1.8,0.4,0.83,6,NA,NA,Pe08,1.5,1.79,,0,0,42.6,2.17270229895049,0.39
NGC 4564,E6,E,-19.8,0.2,-23.1,0.1,10.91,10.86,0.05,0.08,31.0,0.1,4.09,1.78,0.06,162,8,7.78,0.08,0.01,9999.00,NGC4564,213,31,2.25,0.33,2.63,0.08,0.57,1.63,NA,NA,Pe08,2.5,2.94,,-0.264082953938183,-0.31,218.6,3.01730842883127,0.08
NGC 4458,E0-1,E,-19.2,0.2,-21.9,0.1,9.94,10.60,0.66,0.10,31.2,0.1,3.21,1.44,0.05,103,3,9999.00,9999.00,9999.00,9999.00,NGC4458,72,12,1.55,0.32,1.8,0.4,0.3,2.5,NA,NA,Pe08,1.5,1.81,,0,0,86.9,2.18279803581326,0.37
NGC 4479,SB0,S0,-19.0,0.2,-21.4,0.1,9.96,10.42,0.46,0.08,31.2,0.1,4.00,1.94,0.07,83,4,9999.00,9999.00,9999.00,9999.00,NGC4479,59,9,1.44,0.32,2.2,0.5,0.77,5,NA,NA,Pe08,1.4,2.22,,0,0,72.1,2.71081345489155,0.49
NGC 4489,E,E,-19.2,0.2,-21.2,0.1,9.84,10.62,0.78,0.10,30.6,0.1,9999.00,1.30,0.04,53,2,9999.00,9999.00,9999.00,9999.00,NGC4489,31,9,0.64,0.27,0.8,0.3,0.73,3.2,NA,NA,Pe08,0.6,0.75,,0,0,44.0,1.06628384006358,0.32
NGC 4371,SB0,S0,-20.4,0.2,-23.4,0.1,10.65,10.99,0.34,0.09,31.1,0.1,4.09,2.77,0.08,137,3,6.85,0.07,0.07,9999.00,NGC4371,200,41,1.33,0.27,2.1,0.4,0.65,2.9,NA,NA,Pe08,1.3,2.05,,0,0,240.5,2.46766454818669,0.42
NGC 4379,S0pec,S0,-19.1,0.2,-22.1,0.1,10.23,10.46,0.23,0.07,30.9,0.1,2.89,1.18,0.04,116,5,9999.00,9999.00,9999.00,9999.00,NGC4379,50,14,1.12,0.27,1.73,0.41548004680969,0.56,1.7,NA,NA,Pe08,1.1,1.73,,0,0.00,62.0,2.14591951516191,0.42
NGC 4318,E,E,-18.8,0.2,-21.4,0.1,9.70,10.45,0.75,0.13,31.7,0.1,1.47,0.77,0.02,95,4,9999.00,9999.00,9999.00,9999.00,NGC4318,18,6,0.54,0.26,0.6,0.3,0.79,2.8,NA,NA,Pe08,0.5,0.64,,0,0,26.6,0.939799547290686,0.30
NGC 4551,E?,E,-19.3,0.2,-22.3,0.2,10.06,10.66,0.60,0.08,31.2,0.2,4.09,1.24,0.04,107,2,9999.00,9999.00,9999.00,9999.00,NGC4551,47,11,0.88,0.26,1.03,0.3,0.59,2.4,NA,NA,Pe08,0.9,1.03,,0,0.00,60.9,1.33231780492146,0.30
NGC 4452,S0,S0,-19.0,0.2,-21.8,0.1,9.91,10.41,0.50,0.15,30.9,0.1,3.00,2.94,0.20,269,29,9999.00,9999.00,9999.00,9999.00,NGC4452,52,9,1.32,0.2,2.0,0.3,0.92,6,NA,NA,Pe08,1.3,2.03,,0,0,59.9,2.33633184310083,0.31
NGC 4476,SA0,S0,-19.1,0.2,-21.8,0.1,9.57,10.44,0.87,0.19,31.2,0.1,2.82,1.88,0.07,60,6,9999.00,9999.00,9999.00,9999.00,NGC4476,20,7,0.47,0.19,0.7,0.3,0.94,5.2,NA,NA,Pe08,0.5,0.72,,0,0,28.1,1.01052689586235,0.29
NGC 4528,S0,S0,-19.1,0.2,-21.9,0.1,10.01,10.46,0.45,0.09,30.9,0.1,9999.00,0.79,0.03,117,7,9999.00,9999.00,9999.00,9999.00,NGC4528,31,7,0.7,0.18,1.1,0.276986697873128,0.88,2.7,NA,NA,Pe08,0.7,1.08,,0.0,0,38.9,1.35978633499473,0.28
NGC 4570,S0,S0,-20.2,0.2,-23.5,0.1,10.53,10.89,0.36,0.08,31.2,0.1,2.66,1.92,0.06,188,9,9999.00,9999.00,9999.00,9999.00,NGC4570,139,23,1.17,0.18,1.8,0.276986697873127,0.64,2.6,NA,NA,Pe08,1.2,1.80,,0,0,160.4,2.07255201471231,0.28
NGC 4578,SA0,S0,-20.0,0.2,-22.9,0.1,10.31,10.82,0.51,0.10,31.3,0.1,2.36,2.46,0.08,120,10,9999.00,9999.00,9999.00,9999.00,NGC4578,62,13,0.61,0.18,0.9,0.276986697873127,0.64,2,NA,NA,Pe08,0.6,0.95,,0,0,80.2,1.22230506736809,0.28
NGC 4340,SB0,S0,-20.4,0.4,-22.9,0.1,10.36,10.95,0.59,0.07,31.2,0.1,2.89,2.75,0.40,116,3,9999.00,9999.00,9999.00,9999.00,NGC4340,45,16,0.3,0.18,0.50,0.3,0.85,1.7,NA,NA,Pe08,0.3,0.50,,0.0,0.00,69.8,0.77863450887743,0.28
NGC 4442,SB0,S0,-20.5,0.2,-23.6,0.1,10.72,11.01,0.29,0.07,30.9,0.1,3.69,1.74,0.06,187,9,9999.00,9999.00,9999.00,9999.00,NGC4442,178,30,1.13,0.18,1.7,0.3,1,3.4,NA,NA,Pe08,1.1,1.74,,0,0,206.3,2.02122737360031,0.28
NGC 4478,E2,E,-20.0,0.2,-22.9,0.3,10.34,10.92,0.58,0.07,31.3,0.3,3.92,1.08,0.04,137,2,9999.00,9999.00,9999.00,9999.00,NGC4478,58,11,0.60,0.15,0.7,0.2,0.7,1.9,NA,NA,Pe08,0.6,0.70,,0,0,72.5,0.879190441922667,0.18
NGC 4267,SB0,S0,-20.0,0.2,-23.2,0.1,10.51,10.81,0.30,0.09,31.1,0.1,3.58,3.18,0.11,165,5,9999.00,9999.00,9999.00,9999.00,NGC4267,179,17,1.81,0.14,2.8,0.2,0.47,2.6,NA,NA,Pe08,1.8,2.78,,0,0,192.9,2.99539980599918,0.22
NGC 4459,S0,S0,-20.8,0.2,-23.9,0.1,11.15,11.11,0.04,0.08,31.0,0.1,4.06,3.09,0.11,167,8,7.83,0.09,0.07,9999.00,NGC4459,218,28,1,0.13,1.53,0.1,0.52,0.8,NA,NA,Pe08,1.1,1.68,,-0.1,-0.15,225.464641591484,1.74,0.06
NGC 4417,SB0,S0,-20.0,0.2,-22.7,0.1,10.46,10.81,0.35,0.07,30.9,0.1,3.44,1.22,0.04,135,3,9999.00,9999.00,9999.00,9999.00,NGC4417,72,10,0.73,0.12,1.1,0.2,0.64,1.6,NA,NA,Pe08,0.7,1.12,,0,0,83.9,1.3028562955153,0.18
NGC 4638,S0,S0,-20.5,0.2,-23.0,0.1,10.40,11.03,0.63,0.09,31.2,0.1,3.71,1.71,0.05,122,4,9999.00,9999.00,9999.00,9999.00,NGC4638,60,9,0.36,0.1,0.6,0.2,0.81,1.9,NA,NA,Pe08,0.4,0.56,,0,0,76.4,0.715365851702611,0.15
NGC 3585,E6,E,-21.8,0.2,-24.9,0.2,11.65,11.64,0.01,0.09,31.6,0.2,0.12,4.27,0.37,213,10,8.49,0.10,0.17,9999.00,NGC3585,550,165,1,0.31,1.23,0.37,NA,NA,42,6.48074069840786,La12,1.1,1.27,,-0.1,-0.04,662.63030722408,1.53,0.26
NGC 5846,E0,E,-22.0,0.2,-25.0,0.1,11.74,11.74,0.00,0.08,32.0,0.1,0.84,7.56,0.73,239,4,9.04,0.07,0.03,9999.00,NGC5846,3100,200,4.8,1.5,5.6,1.7,0.35,2,96.0,17.0,in Prep,4.8,5.59,,0.0,0.0106450033353322,4086.4,7.3678461634252,1.78
NGC 1172,E,E,-19.9,0.2,-22.5,0.3,10.89,10.89,0.00,0.08,31.7,0.3,0.28,4.02,0.39,112,4,9999.00,9999.00,9999.00,9999.00,NGC1172,480,50,5.2,1,6.1,1.2,0.56,3.5,21.6,4,in Prep,5.3,6.16,,-0.1,-0.0551867967489112,565.4,7.25,1.10
NGC 4382,S0,S0,-22.2,0.2,-25.2,0.1,11.70,11.70,0.00,0.08,31.3,0.1,0.50,7.48,0.23,179,5,9999.00,9999.00,9999.00,9999.00,NGC4382,3000,200,3.8,0.7,5.9,1.1,0.45,1.2,110,12,in Prep,3.9,5.97,,-0.1,-0.0745838754061046,3477.1,6.92466744682821,0.95
NGC 4649,E2,E,-22.4,0.2,-25.4,0.1,11.88,11.88,0.00,0.08,31.1,0.1,3.49,7.12,0.25,385,19,9.68,0.11,0.07,9999.00,NGC4649,4200,400,4.7,0.7,5.5,0.8,0.84,4.62,94,25,in Prep,4.7,5.49,,0.0,0.0140822698462699,4835.0,6.3152967115073,0.83
NGC 4621,E5,E,-21.7,0.2,-24.6,0.0,11.61,11.61,0.00,0.08,31.3,0.1,2.60,4.57,0.15,225,3,8.60,0.06,0.06,9999.00,NGC4621,1750,150,3.7,0.6,4.3,0.7,NA,NA,76,10,in Prep,3.7,4.28,,0.0,0.0239965327855503,2058.1,5.02884738138544,0.75
NGC 4425,SB0,S0,-19.4,0.2,-22.1,0.7,10.60,10.57,0.03,0.10,31.1,0.6,3.44,1.95,0.90,76,6,9999.00,9999.00,9999.00,9999.00,NGC4425,90,10,1.6,0.5,2.5,0.8,NA,NA,10,2,In Prep,1.6,2.41,,0.0,0.0932614344176232,120.8,3.23151147518649,0.82
NGC 4374,E1,E,-22.3,0.2,-25.1,0.1,11.80,11.83,0.03,0.10,31.3,0.1,3.99,5.46,0.18,296,14,8.95,0.04,0.04,9999.00,NGC4374,2800,200,3.5,0.5,4.1,0.6,0.59,2.4,83,20,in Prep,3.5,4.12,,-0.0,-0.0224750068116233,3177.3,4.6779975640795,0.56
NGC 4473,E5,E,-20.9,0.2,-23.8,0.1,11.21,11.28,0.07,0.08,30.9,0.1,2.17,3.01,0.10,190,9,8.08,0.50,0.12,9999.00,NGC4473,540,40,2.4,0.5,2.8,0.6,0.65,1.82,33,5,in Prep,2.4,2.83,,-0.0,-0.0339602853487646,646.2,3.39154823395762,0.56
NGC 4387,E5,E,-19.6,0.2,-22.1,0.1,10.80,10.78,0.02,0.10,31.3,0.1,3.62,1.27,0.04,105,3,9999.00,9999.00,9999.00,9999.00,NGC4387,41,9,0.6,0.3,0.6,0.3,NA,NA,5.5,1,In Prep,0.6,0.67,,0.0,-0.0741924065181209,64.0,1.05254945191788,0.38
NGC 4388,Sb,E,-21.7,0.3,-24.0,0.4,11.00,11.41,0.41,0.12,32.0,0.4,1.56,4.88,0.50,99,9,6.87,0.01,0.01,9999.00,NGC4388,70,10,0.3,0.1,0.6,0.3,NA,NA,19,5,In Prep,0.1,0.28,,0.2,0.324724091260058,195.0,0.766884846570408,0.49
NGC 5128,Epec,E,-21.7,0.2,-24.0,0.1,11.74,11.61,0.13,0.08,27.9,0.1,0.20,6.15,0.12,150,7,7.65,0.11,0.14,9999.00,NGC5128,980,120,1.5,0.2,1.77,0.22,0.53,1.47,NA,NA,Ha04,2.0,2.39,,-0.5,-0.62,813.7,1.98814896473378,-0.41
NGC 5813,E1,E,-22.1,0.2,-25.1,0.2,11.80,11.76,0.04,0.10,32.5,0.2,0.88,8.93,0.77,237,3,8.83,0.07,0.04,9999.00,NGC5813,2890,394,3.6,0.8,4.2,0.9,0.68,2.8,121,14,H12,4.3,5.07,,-0.7,-0.868714650322687,2933.9,5.14579732048743,0.08
NGC 5866,SA0,S0,-20.9,0.2,-24.1,0.1,11.20,11.19,0.01,0.10,30.9,0.1,0.24,3.01,0.17,159,10,9999.00,9999.00,9999.00,9999.00,NGC5866,340,80,1.3,0.4,1.9,0.5,0.74,1.6,44,11,H12,1.4,2.20,,-0.1,-0.301229501732799,404.1,2.61598547991286,0.41
NGC 4762,SB0,S0,-21.5,0.2,-24.6,0.2,11.30,11.40,0.10,0.10,31.9,0.2,2.65,10.44,1.09,147,10,9999.00,9999.00,9999.00,9999.00,NGC4762,270,30,0.9,0.2,1.4,0.4,0.4,0.6,27,7,H12,0.7,1.07,,0.2,0.327122415120335,426.0,1.69269648700245,0.62
NGC 3384,SB0,S0,-20.5,0.2,-23.6,0.1,11.00,11.00,0.00,0.08,30.3,0.1,0.54,1.40,0.09,143,7,7.23,0.06,0.02,9999.00,NGC3384,120,30,0.8,0.2,1.2,0.4,0.6,0.7,17,4,H12,0.8,1.19,,0.0,0.0132270094449403,155.6,1.53881498818404,0.35
NGC 4754,SB0,S0,-20.7,0.2,-23.6,0.1,11.10,11.09,0.01,0.10,31.0,0.1,2.62,2.26,0.10,186,3,9999.00,9999.00,9999.00,9999.00,NGC4754,115,15,0.6,0.1,0.9,0.2,0.4,0.4,15,4,H12,0.6,0.93,,-0.0,-0.0287188236046233,133.4,1.07717049172883,0.15
NGC 7457,S0,S0,-19.7,0.3,-22.4,0.2,10.60,10.68,0.08,0.10,30.6,0.2,0.13,2.06,0.21,67,3,6.59,0.20,0.20,9999.00,NGC7457,210,30,3.1,0.7,4.8,1.1,0.58,2.8,12,2,H11,2.8,4.34,,0.3,0.460839619604642,283.0,5.84749695509937,1.51
NGC 3115,S0,S0,-21.1,0.2,-24.1,0.1,11.26,11.26,0.00,0.08,30.0,0.1,0.08,1.51,0.06,230,11,8.96,0.17,0.32,9999.00,NGC3115,122,30,0.78,0.24,1.21,0.36,0.59,0.73,NA,NA,Fa11,0.4,0.66,,0.349116532853813,0.55,288.8,1.56959128794772,0.91
NGC 1399,E1pec,E,-22.0,0.2,-25.3,0.1,11.85,11.74,0.11,0.08,31.6,0.1,1.59,9.70,0.23,337,16,8.67,0.05,0.06,9999.00,NGC1399,5800,700,9.11,0.8,10.65,0.98,0.6,4.18,NA,NA,Di03/Ba06,9.1,10.65,,0,0.00,6309.4,11.5875219042363,0.94
NGC 4753,S0,S0,-22.0,0.4,-25.1,0.1,11.90,11.60,0.30,0.20,31.9,0.1,0.49,5.60,0.23,163,9,9999.00,9999.00,9999.00,9999.00,NGC4753,1070,120,1.3,0.2,1.5,0.2,NA,NA,50,5,Caso15,1.7,2.66,,-0.4,-1.1580930835961,929.2,2.30822248227606,-0.35
NGC 4365,E3,E,-22.0,0.2,-25.2,0.1,11.86,11.74,0.12,0.08,31.8,0.1,2.93,7.83,0.22,256,3,9999.00,9999.00,9999.00,9999.00,NGC4365,6450,645,10.1,1.01,11.85,1.2,NA,NA,134,10,Blo11,10.1,11.85,,0.0,0.00,7093.2,13.0268666995269,1.18
M 31,Sb,Spiral,-21.7,0.2,-23.5,0.1,11.40,11.41,0.01,0.10,24.5,0.1,9999.00,4.66,0.12,160,8,8.15,0.10,0.22,9999.00,M31,450,100,0.9,0.2,1.6,0.4,0.72,1.2,NA,NA,AZ98,0.9,1.77,,-0.0,-0.169630841899627,536.3,2.10893332806862,0.34
Milky Way,Sbc,Spiral,-21.3,0.3,9999.0,9999.0,11.20,11.15,0.05,0.10,14.6,9999.0,9999.00,0.70,0.10,105,20,6.63,0.04,0.04,9999.00,Galaxy,160,20,0.5,0.1,1.1,0.1,0.7,0.8,NA,NA,AZ98,0.5,1.13,,0.0,-0.0301861433342576,198.7,1.40339926922384,0.27
