VCC  zmag   gmag    pGC    
1226 22.075 23.499  1.00
1226 23.238 24.757  0.99
1226 22.134 23.125  1.00
1226 22.610 23.719  1.00
1226 21.453 22.989  1.00
1226 22.598 23.927  1.00
1226 20.882 22.305  1.00
1226 22.643 23.797  1.00
1226 23.792 25.114  0.93
1226 21.671 23.231  1.00
1226 23.694 24.864  0.96
1226 21.978 22.882  1.00
1226 23.383 24.113  0.99
1226 21.591 23.015  1.00
1226 22.109 23.103  1.00
1226 21.715 23.212  1.00
1226 23.381 24.358  0.99
1226 21.288 22.644  1.00
1226 22.570 23.618  1.00
1226 23.704 25.043  0.94
1226 22.025 23.456  1.00
1226 24.802 25.627  0.98
1226 23.093 24.471  0.99
1226 23.350 24.180  0.99
1226 22.607 23.939  1.00
1226 22.419 23.671  1.00
1226 21.300 22.805  1.00
1226 21.819 22.642  1.00
1226 22.787 24.219  0.91
1226 21.259 22.644  1.00
1226 24.091 25.942  0.95
1226 21.670 22.911  1.00
1226 22.608 24.205  0.99
1226 23.540 25.085  0.99
1226 22.875 23.943  0.94
1226 21.568 22.428  1.00
1226 22.540 23.801  0.99
1226 23.023 24.196  0.99
1226 21.064 22.432  1.00
1226 23.666 24.685  0.98
1226 24.491 25.873  0.89
1226 21.738 23.135  1.00
1226 20.602 21.749  1.00
1226 22.172 23.167  1.00
1226 22.163 23.399  1.00
1226 23.390 24.900  0.94
1226 21.535 22.826  1.00
1226 22.153 23.038  1.00
1226 21.822 22.946  1.00
1226 23.008 24.086  0.99
1226 20.000 21.354  1.00
1226 24.150 25.434  0.99
1226 22.463 23.737  1.00
1226 21.556 22.579  1.00
1226 22.043 23.620  1.00
1226 22.930 23.899  1.00
1226 22.020 22.935  1.00
1226 21.960 23.059  1.00
1226 24.545 25.336  0.98
1226 22.395 24.135  0.99
1226 20.553 22.054  1.00
1226 20.157 21.707  1.00
1226 19.951 21.382  1.00
1226 22.129 23.587  1.00
1226 23.199 24.252  1.00
1226 20.680 21.696  1.00
1226 22.238 23.628  0.98
1226 20.413 21.616  1.00
1226 22.958 23.769  0.64
